"customer_id","customer_name","customer_age","customer_birthday","customer_gender","customer_location"
1,比嘉 奈月,37,1978-08-22,F,新潟県
2,金城 朝陽,16,1999-11-08,F,京都府
3,大城 彩,39,1976-05-31,F,東京都
4,宮城 優一,46,1969-06-27,M,神奈川県
6,新垣 美帆,24,1991-11-17,F,千葉県
7,玉城 美菜,28,1987-10-16,F,福岡県
8,上原 みゆき,16,1999-04-18,F,愛媛県
9,島袋 薫,26,1989-11-22,F,福島県
10,平良 優,15,2000-12-13,F,埼玉県
11,山城 朝香,50,1965-04-29,F,香川県
12,知念 華子,11,2004-08-02,F,滋賀県
15,宮里 結衣,20,1995-06-23,F,神奈川県
16,仲宗根 三郎,10,2005-07-30,M,福岡県
17,下地 涼子,34,1981-09-29,F,群馬県
19,照屋 愛,18,1997-11-06,F,愛知県
20,砂川 精児,39,1976-05-03,M,茨城県
